Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive
NLMCMH_164,A10,scan_083,534.8,0.467,A10,10,55,C8
CNH_068,F04,scan_045,509.6666667,0.422,F04,10,60,C8
CMH_028,B03,scan_033,522,0.422,B03,10,60,C8
CMH_028,B07,scan_071,524.5,0.453,B07,10,60,C8
CMH_063,A04,scan_032,522,0.436,A04,10,60,C8
CMH_063,E07,scan_065,515,0.417,E07,10,60,C8
CMH_073,C02,scan_026,513.5,0.413,C02,10,60,C8
CNH_068,G04,scan_045,500,0.417,G04,100,7,C8
CMH_028,C03,scan_033,504,0.422,C03,100,7,C8
CMH_028,C07,scan_071,509.5,0.452,C07,100,7,C8
CMH_073,D02,scan_026,490,0.419,D02,100,7,C8
CNH_068,H04,scan_046,466.5,0.432,H04,100,8,C8
CMH_028,D03,scan_034,480.5,0.436,D03,100,8,C8
CMH_028,D07,scan_071,494,0.442,D07,100,8,C8
CMH_073,E02,scan_027,481,0.423,E02,100,8,C8
CNH_068,A05,scan_046,463.5,0.436,A05,100,9,C8
CMH_028,E03,scan_034,477,0.44,E03,100,9,C8
CMH_028,E07,scan_071,476.5,0.476,E07,100,9,C8
CMH_063,B04,scan_032,491.6666667,0.427,B04,100,9,C8
CMH_063,F07,scan_065,473,0.431,F07,100,9,C8
CMH_073,F02,scan_027,477.25,0.417,F02,100,9,C8
CNH_067,A09,scan_036,463,0.439,A09,100,10,C8
CNH_067,C11,scan_040,443.3333333,0.438,C11,100,10,C8
NLMCMH_164,E05,scan_041,479.5,0.426,E05,100,10,C8
NLMCMH_164,B10,scan_083,480.5,0.412,B10,100,10,C8
CNH_068,B05,scan_046,449.5,0.45,B05,100,12,C8
CMH_028,F03,scan_034,466.3333333,0.39,F03,100,12,C8
CMH_028,F07,scan_072,459,0.449,F07,100,12,C8
CMH_073,G02,scan_027,458,0.404,G02,100,12,C8
CNH_068,C05,scan_047,457.5,0.42,C05,100,14,C8
CMH_028,G03,scan_035,456,0.428,G03,100,14,C8
CMH_028,G07,scan_072,464.5,0.448,G07,100,14,C8
CMH_073,H02,scan_028,460.2,0.413,H02,100,14,C8
CMH_073,C08,scan_054,436,0.449,C08,100,14,C8
CMH_073,D08,scan_054,443.3333333,0.453,D08,100,14,C8
CNH_068,D05,scan_047,458,0.416,D05,100,16,C8
CMH_028,H03,scan_035,471.3333333,0.407,H03,100,16,C8
CMH_028,H07,scan_072,476,0.431,H07,100,16,C8
CMH_073,A03,scan_028,467.6666667,0.392,A03,100,16,C8
CNH_068,E05,scan_047,456,0.371,E05,100,18,C8
CMH_028,A04,scan_035,475,0.375,A04,100,18,C8
CMH_028,A08,scan_072,491.8,0.402,A08,100,18,C8
CMH_073,B03,scan_028,475.5,0.373,B03,100,18,C8
CNH_067,B09,scan_036,444,0.405,B09,100,20,C8
CNH_067,D11,scan_040,475.25,0.397,D11,100,20,C8
NLMCMH_164,F05,scan_041,513,0.398,F05,100,20,C8
NLMCMH_164,C10,scan_083,494,0.432,C10,100,20,C8
CNH_068,F05,scan_047,502.5,0.36,F05,100,25,C8
CMH_028,B04,scan_036,500.5,0.347,B04,100,25,C8
CMH_028,B08,scan_073,520.3333333,0.362,B08,100,25,C8
CMH_063,C04,scan_032,538.3333333,0.351,C04,100,25,C8
CMH_063,G07,scan_065,551,0.313,G07,100,25,C8
CMH_073,C03,scan_029,510,0.34,C03,100,25,C8
CNH_068,G05,scan_048,515,0.348,G05,100,30,C8
CMH_028,C04,scan_036,518.2857143,0.329,C04,100,30,C8
CMH_028,C08,scan_073,552.5,0.331,C08,100,30,C8
CMH_063,D04,scan_032,594,0.305,D04,100,30,C8
CMH_063,H07,scan_065,571,0.276,H07,100,30,C8
CMH_073,D03,scan_029,528.6666667,0.319,D03,100,30,C8
CNH_068,H05,scan_048,518.25,0.313,H05,100,35,C8
CMH_028,D04,scan_036,534,0.306,D04,100,35,C8
CMH_028,D08,scan_073,551,0.328,D08,100,35,C8
CMH_073,E03,scan_029,559.5,0.324,E03,100,35,C8
CNH_068,A06,scan_048,534.5714286,0.311,A06,100,40,C8
CMH_028,E04,scan_036,555.25,0.313,E04,100,40,C8
CMH_028,E08,scan_074,564.5,0.312,E08,100,40,C8
CMH_073,F03,scan_029,588,0.322,F03,100,40,C8
CNH_068,B06,scan_048,545.2,0.305,B06,100,45,C8
CMH_028,F04,scan_036,560.25,0.304,F04,100,45,C8
CMH_028,F08,scan_074,586.75,0.277,F08,100,45,C8
CMH_073,G03,scan_029,594,0.305,G03,100,45,C8
CNH_067,C09,scan_036,562.5,0.274,C09,100,50,C8
CNH_067,E11,scan_040,567.5,0.294,E11,100,50,C8
CNH_068,C06,scan_048,558,0.295,C06,100,50,C8
CMH_028,G04,scan_036,565.5,0.317,G04,100,50,C8
CMH_028,G08,scan_074,564,0.288,G08,100,50,C8
CMH_073,H03,scan_029,617,0.281,H03,100,50,C8
CNH_068,D06,scan_048,575.4285714,0.261,D06,100,55,C8
CMH_028,H04,scan_036,564,0.297,H04,100,55,C8
CMH_028,H08,scan_074,576.9411765,0.251,H08,100,55,C8
CMH_073,A04,scan_029,617.4,0.282,A04,100,55,C8
CMH_073,E08,scan_054,589.75,0.257,E08,100,55,C8
CMH_073,F08,scan_054,596.25,0.274,F08,100,55,C8
CNH_068,E06,scan_048,561,0.256,E06,100,60,C8
CMH_028,A05,scan_036,566.5,0.267,A05,100,60,C8
CMH_028,A09,scan_074,585.125,0.177,A09,100,60,C8
CMH_063,E04,scan_032,625,0.159,E04,100,60,C8
CMH_063,A08,scan_065,615,0.206,A08,100,60,C8
CMH_073,B04,scan_029,618.5,0.289,B04,100,60,C8
NLMCMH_164,E03,scan_037,742,0.598,E03,1,20,C7
NLMCMH_164,F03,scan_038,728.5,0.568,F03,1,20,C7
NLMCMH_164,B08,scan_079,733.5,0.58,B08,1,20,C7
NLMCMH_164,C08,scan_080,729.25,0.591,C08,1,20,C7
CMH_032,C01,scan_032,751,0.583,C01,1,30,C7
CMH_032,C05,scan_070,741.5,0.585,C05,1,30,C7
CMH_038,B07,scan_081,759,0.629,B07,1,30,C7
CMH_038,A10,scan_099,741,0.588,A10,1,30,C7
CMH_068,B01,scan_023,746,0.586,B01,1,30,C7
CMH_032,D01,scan_032,760,0.606,D01,1,35,C7
CMH_032,D05,scan_070,737.75,0.561,D05,1,35,C7
NLMCMH_164,G03,scan_038,778.6666667,0.628,G03,1,35,C7
NLMCMH_164,D08,scan_080,751,0.592,D08,1,35,C7
CMH_032,E01,scan_032,789,0.635,E01,1,40,C7
CMH_032,E05,scan_070,760,0.585,E05,1,40,C7
NLMCMH_164,H03,scan_038,776,0.612,H03,1,40,C7
NLMCMH_164,E08,scan_080,752,0.62,E08,1,40,C7
CMH_032,F01,scan_032,731,0.575,F01,1,45,C7
CMH_032,F05,scan_070,733.7777778,0.582,F05,1,45,C7
NLMCMH_164,A04,scan_039,730,0.589,A04,1,45,C7
NLMCMH_164,F08,scan_080,753,0.612,F08,1,45,C7
CMH_032,G01,scan_032,742,0.583,G01,1,60,C7
CMH_032,G05,scan_070,741.6666667,0.554,G05,1,60,C7
CMH_038,C07,scan_081,740.5,0.551,C07,1,60,C7
CMH_038,B10,scan_099,779,0.627,B10,1,60,C7
CMH_068,C01,scan_023,762.3333333,0.62,C01,1,60,C7
CMH_032,H01,scan_032,760,0.601,H01,10,10,C7
CMH_032,H05,scan_070,704,0.545,H05,10,10,C7
CMH_038,D07,scan_081,752,0.612,D07,10,10,C7
CMH_038,C10,scan_099,750,0.586,C10,10,10,C7
CMH_068,D01,scan_023,738.3333333,0.569,D01,10,10,C7
CMH_032,A02,scan_032,669,0.493,A02,10,15,C7
CMH_032,A06,scan_070,653,0.547,A06,10,15,C7
CMH_038,D10,scan_099,694,0.552,D10,10,15,C7
CMH_068,E01,scan_023,724.25,0.543,E01,10,15,C7
CMH_032,B02,scan_032,623.5,0.444,B02,10,20,C7
CMH_032,B06,scan_070,626.5555556,0.5,B06,10,20,C7
CMH_038,F07,scan_081,632,0.508,F07,10,20,C7
CMH_038,E10,scan_099,675,0.531,E10,10,20,C7
CMH_068,F01,scan_023,661.5,0.512,F01,10,20,C7
CMH_032,C02,scan_032,571.6666667,0.4,C02,10,25,C7
CMH_032,C06,scan_070,570,0.42,C06,10,25,C7
NLMCMH_164,B04,scan_039,621,0.497,B04,10,25,C7
NLMCMH_164,G08,scan_081,644,0.515,G08,10,25,C7
CMH_032,D02,scan_032,550.5,0.365,D02,10,30,C7
CMH_032,D06,scan_070,549,0.43,D06,10,30,C7
CMH_038,G07,scan_081,523,0.448,G07,10,30,C7
CMH_038,F10,scan_099,561,0.447,F10,10,30,C7
CMH_068,G01,scan_023,565,0.445,G01,10,30,C7
CMH_032,E02,scan_032,547,0.403,E02,10,35,C7
CMH_032,E06,scan_070,523.75,0.428,E06,10,35,C7
NLMCMH_164,C04,scan_039,539,0.431,C04,10,35,C7
NLMCMH_164,H08,scan_081,575.5,0.478,H08,10,35,C7
CMH_032,F02,scan_032,519,0.396,F02,10,40,C7
CMH_032,F06,scan_070,516,0.406,F06,10,40,C7
CMH_038,H07,scan_082,508,0.436,H07,10,40,C7
CMH_038,G10,scan_099,549,0.45,G10,10,40,C7
CMH_068,H01,scan_024,524,0.439,H01,10,40,C7
CMH_032,G02,scan_032,512.4,0.391,G02,10,45,C7
CMH_032,G06,scan_070,502,0.457,G06,10,45,C7
NLMCMH_164,D04,scan_040,503.4285714,0.428,D04,10,45,C7
NLMCMH_164,A09,scan_081,524.5,0.429,A09,10,45,C7
CMH_032,H02,scan_032,500,0.426,H02,10,50,C7
CMH_032,H06,scan_070,495,0.432,H06,10,50,C7
CMH_038,A08,scan_082,507.2,0.437,A08,10,50,C7
CMH_038,H10,scan_099,514,0.445,H10,10,50,C7
CMH_068,A02,scan_024,504,0.431,A02,10,50,C7
CMH_032,A03,scan_033,498,0.393,A03,10,55,C7
CMH_032,A07,scan_070,490,0.397,A07,10,55,C7
NLMCMH_164,B09,scan_081,499.4,0.412,B09,10,55,C7
CMH_063,D03,scan_031,501,0.434,D03,10,55,C7
CMH_063,H06,scan_064,495.3333333,0.402,H06,10,55,C7
CMH_032,B03,scan_033,494,0.389,B03,10,60,C7
CMH_032,B07,scan_071,499,0.372,B07,10,60,C7
CMH_038,B08,scan_082,504,0.39,B08,10,60,C7
CMH_038,A11,scan_100,504,0.393,A11,10,60,C7
CMH_068,B02,scan_024,503.5,0.411,B02,10,60,C7
CMH_032,C03,scan_033,491,0.37,C03,100,7,C7
CMH_032,C07,scan_071,472.5,0.402,C07,100,7,C7
CMH_038,C08,scan_082,481,0.421,C08,100,7,C7
CMH_038,B11,scan_100,495,0.447,B11,100,7,C7
CMH_068,C02,scan_025,474,0.398,C02,100,7,C7
CMH_032,D03,scan_034,481,0.38,D03,100,8,C7
CMH_032,D07,scan_071,457.5,0.41,D07,100,8,C7
CMH_038,D08,scan_083,476,0.417,D08,100,8,C7
CMH_038,C11,scan_100,480,0.433,C11,100,8,C7
CMH_068,D02,scan_025,462,0.408,D02,100,8,C7
CMH_032,E03,scan_034,494,0.351,E03,100,9,C7
CMH_032,E07,scan_071,475,0.41,E07,100,9,C7
CMH_038,E08,scan_083,468,0.434,E08,100,9,C7
CMH_038,D11,scan_100,479,0.41,D11,100,9,C7
CMH_068,E02,scan_025,475,0.392,E02,100,9,C7
CMH_032,F03,scan_034,475,0.381,F03,100,12,C7
CMH_032,F07,scan_072,481,0.409,F07,100,12,C7
CMH_038,F08,scan_083,474,0.401,F08,100,12,C7
CMH_038,E11,scan_101,495.5,0.393,E11,100,12,C7
CMH_068,F02,scan_026,495.5,0.355,F02,100,12,C7
CMH_032,G03,scan_035,501.5,0.324,G03,100,14,C7
CMH_032,G07,scan_072,495.5,0.355,G07,100,14,C7
CMH_063,E03,scan_031,502,0.353,E03,100,14,C7
CMH_063,A07,scan_064,473.5,0.415,A07,100,14,C7
CMH_032,H03,scan_035,491.4285714,0.358,H03,100,16,C7
CMH_032,H07,scan_072,501.5,0.295,H07,100,16,C7
CMH_038,G08,scan_083,504.5,0.356,G08,100,16,C7
CMH_038,F11,scan_101,513,0.371,F11,100,16,C7
CMH_068,G02,scan_026,507.2857143,0.354,G02,100,16,C7
CMH_032,A04,scan_035,511,0.323,A04,100,18,C7
CMH_032,A08,scan_072,517,0.336,A08,100,18,C7
CMH_038,H08,scan_084,521.6666667,0.331,H08,100,18,C7
CMH_038,G11,scan_101,523,0.361,G11,100,18,C7
CMH_068,H02,scan_026,518.5555556,0.339,H02,100,18,C7
CMH_032,B04,scan_036,539.5,0.287,B04,100,25,C7
CMH_032,B08,scan_073,559.3333333,0.276,B08,100,25,C7
CMH_038,A09,scan_084,543.6666667,0.276,A09,100,25,C7
CMH_038,H11,scan_101,550,0.322,H11,100,25,C7
CMH_068,A03,scan_027,555,0.324,A03,100,25,C7
CMH_032,C04,scan_036,557.6666667,0.242,C04,100,30,C7
CMH_032,C08,scan_073,560.5,0.149,C08,100,30,C7
CMH_038,B09,scan_084,568.9375,0.275,B09,100,30,C7
CMH_038,A12,scan_102,590,0.266,A12,100,30,C7
CMH_068,B03,scan_027,586,0.291,B03,100,30,C7
CMH_032,D04,scan_036,564,0.253,D04,100,35,C7
CMH_032,D08,scan_073,573.1052632,0.235,D08,100,35,C7
CMH_038,C09,scan_084,568.4,0.269,C09,100,35,C7
CMH_038,B12,scan_102,600.5,0.264,B12,100,35,C7
CMH_068,C03,scan_027,594.4,0.291,C03,100,35,C7
CMH_032,E04,scan_036,586.2857143,0.266,E04,100,40,C7
CMH_032,E08,scan_074,400,0.242,E08,100,40,C7
CMH_038,D09,scan_085,583.6666667,0.223,D09,100,40,C7
CMH_038,C12,scan_102,619.6666667,0.27,C12,100,40,C7
CMH_068,D03,scan_027,614.75,0.297,D03,100,40,C7
CMH_032,F04,scan_036,603.1818182,0.222,F04,100,45,C7
CMH_032,F08,scan_074,629.6666667,0.236,F08,100,45,C7
CMH_038,E09,scan_085,602.625,0.241,E09,100,45,C7
CMH_038,D12,scan_102,616,0.201,D12,100,45,C7
CMH_068,E03,scan_027,640.1818182,0.32,E03,100,45,C7
CMH_032,G04,scan_036,594,0.264,G04,100,50,C7
CMH_032,G08,scan_074,620,0.21,G08,100,50,C7
CMH_038,F09,scan_085,621.75,0.19,F09,100,50,C7
CMH_038,E12,scan_102,619,0.227,E12,100,50,C7
CMH_068,F03,scan_027,645.75,0.261,F03,100,50,C7
CMH_032,H04,scan_036,602,0.203,H04,100,55,C7
CMH_032,H08,scan_074,614,0.204,H08,100,55,C7
CMH_038,G09,scan_085,619,0.181,G09,100,55,C7
CMH_038,F12,scan_103,619.2,0.181,F12,100,55,C7
CMH_068,G03,scan_027,641.6666667,0.196,G03,100,55,C7
CMH_032,A05,scan_036,588.7142857,0.159,A05,100,60,C7
CMH_032,A09,scan_074,616.6666667,0.165,A09,100,60,C7
CMH_038,H09,scan_085,623.8,0.132,H09,100,60,C7
CMH_038,G12,scan_103,619,0.138,G12,100,60,C7
CMH_068,H03,scan_027,630.5555556,0.137,H03,100,60,C7
CNH_048,C01,scan_036,712.5,0.548,C01,0.001,20,C6
CNH_048,E03,scan_037,722.2,0.583,E03,0.001,20,C6
CNH_064,C01,scan_031,740.25,0.525,C01,0.001,25,C6
CNH_064,D01,scan_031,742.6666667,0.543,D01,0.001,30,C6
CNH_064,E01,scan_031,764,0.568,E01,0.001,35,C6
CNH_064,F01,scan_031,768.5,0.558,F01,0.001,40,C6
CNH_064,G01,scan_031,717.6,0.544,G01,0.001,45,C6
CNH_048,D01,scan_036,709.5,0.544,D01,0.001,50,C6
CNH_048,F03,scan_037,743,0.558,F03,0.001,50,C6
CNH_048,E01,scan_036,744,0.549,E01,0.01,10,C6
CNH_048,G03,scan_037,762,0.582,G03,0.01,10,C6
CNH_048,F01,scan_036,718.8888889,0.533,F01,0.01,20,C6
CNH_048,H03,scan_038,750,0.58,H03,0.01,20,C6
CNH_064,H01,scan_031,823,0.548,H01,0.01,25,C6
CNH_064,A02,scan_031,833.3333333,0.502,A02,0.01,30,C6
CNH_064,B02,scan_031,817.5714286,0.44,B02,0.01,35,C6
CNH_064,C02,scan_031,807,0.521,C02,0.01,40,C6
CNH_064,D02,scan_031,829,0.371,D02,0.01,45,C6
CNH_048,G01,scan_036,746,0.55,G01,0.01,50,C6
CNH_048,A04,scan_038,763.8,0.581,A04,0.01,50,C6
CNH_048,H01,scan_036,707,0.54,H01,0.1,10,C6
CNH_048,B04,scan_038,739.2,0.577,B04,0.1,10,C6
CNH_048,A02,scan_036,746,0.553,A02,0.1,20,C6
CNH_048,C04,scan_039,757,0.548,C04,0.1,20,C6
CNH_064,E02,scan_031,777,0.605,E02,0.1,25,C6
CNH_064,F02,scan_031,773.2222222,0.597,F02,0.1,30,C6
CNH_064,G02,scan_032,772,0.573,G02,0.1,35,C6
CNH_064,H02,scan_032,780,0.605,H02,0.1,40,C6
CNH_064,A03,scan_032,770,0.61,A03,0.1,45,C6
CNH_048,B02,scan_036,764.5,0.578,B02,0.1,50,C6
CNH_048,D04,scan_039,719.2857143,0.577,D04,0.1,50,C6
CNH_048,C02,scan_036,743,0.566,C02,1,10,C6
CNH_048,E04,scan_039,719,0.576,E04,1,10,C6
CNH_048,D02,scan_036,723,0.528,D02,1,20,C6
CNH_048,F04,scan_039,762,0.604,F04,1,20,C6
CMH_063,G02,scan_029,772,0.572,G02,1,20,C6
CMH_063,C06,scan_062,724.5,0.621,C06,1,20,C6
CNH_064,B03,scan_032,720.7142857,0.528,B03,1,25,C6
CMH_063,H02,scan_030,777,0.63,H02,1,25,C6
CMH_063,D06,scan_063,728,0.586,D06,1,25,C6
CMH_073,G08,scan_055,734,0.576,G08,1,25,C6
CMH_073,H08,scan_055,745,0.576,H08,1,25,C6
CMH_073,A09,scan_055,735.6,0.555,A09,1,25,C6
CNH_064,C03,scan_033,798,0.586,C03,1,30,C6
CMH_024,C01,scan_032,740.25,0.577,C01,1,30,C6
CMH_024,C05,scan_070,720.6666667,0.754,C05,1,30,C6
CNH_064,D03,scan_033,760.5,0.574,D03,1,35,C6
CMH_024,D01,scan_032,735.8,0.573,D01,1,35,C6
CMH_024,D05,scan_070,711.5,0.574,D05,1,35,C6
CNH_064,E03,scan_033,730.3333333,0.552,E03,1,40,C6
CMH_024,E01,scan_032,743.5714286,0.579,E01,1,40,C6
CMH_024,E05,scan_070,713.5,0.58,E05,1,40,C6
CNH_064,F03,scan_034,760,0.583,F03,1,45,C6
CMH_024,F01,scan_032,741,0.561,F01,1,45,C6
CMH_024,F05,scan_070,704,0.561,F05,1,45,C6
CNH_048,E02,scan_036,761.8,0.561,E02,1,50,C6
CNH_048,G04,scan_040,754.6666667,0.597,G04,1,50,C6
NLMCMH_164,D01,scan_037,771.3333333,0.567,D01,1,50,C6
NLMCMH_164,A06,scan_079,775.25,0.609,A06,1,50,C6
CMH_024,G01,scan_032,701.6,0.548,G01,1,60,C6
CMH_024,G05,scan_070,724.2,0.568,G05,1,60,C6
NLMCMH_164,E01,scan_037,780.8,0.563,E01,1,60,C6
NLMCMH_164,B06,scan_079,790,0.594,B06,1,60,C6
CNH_048,F02,scan_036,742.3333333,0.544,F02,10,10,C6
CNH_048,H04,scan_040,733.75,0.592,H04,10,10,C6
CMH_024,H01,scan_032,715.5,0.575,H01,10,10,C6
CMH_024,H05,scan_070,755,0.589,H05,10,10,C6
CMH_024,A02,scan_032,728.875,0.556,A02,10,15,C6
CMH_024,A06,scan_070,710,0.549,A06,10,15,C6
NLMCMH_164,F01,scan_037,745.5,0.542,F01,10,15,C6
NLMCMH_164,C06,scan_079,751.3333333,0.571,C06,10,15,C6
CNH_048,G02,scan_036,713,0.532,G02,10,20,C6
CNH_048,A05,scan_040,663,0.518,A05,10,20,C6
CMH_024,B02,scan_032,645,0.497,B02,10,20,C6
CMH_024,B06,scan_070,651,0.507,B06,10,20,C6
CNH_064,G03,scan_034,648.5,0.508,G03,10,25,C6
CMH_024,C02,scan_032,648.3333333,0.53,C02,10,25,C6
CMH_024,C06,scan_070,673.75,0.501,C06,10,25,C6
CMH_063,A03,scan_030,651,0.523,A03,10,25,C6
CMH_063,E06,scan_063,626,0.507,E06,10,25,C6
CNH_064,H03,scan_034,602,0.5,H03,10,30,C6
CMH_024,D02,scan_032,608.5,0.481,D02,10,30,C6
CMH_024,D06,scan_070,613,0.524,D06,10,30,C6
CNH_064,A04,scan_035,576.5,0.501,A04,10,35,C6
CMH_024,E02,scan_032,550,0.478,E02,10,35,C6
CMH_024,E06,scan_070,581.5,0.487,E06,10,35,C6
CMH_073,B09,scan_055,616.5,0.514,B09,10,35,C6
CMH_073,C09,scan_056,598.5,0.473,C09,10,35,C6
CMH_073,D09,scan_056,600,0.507,D09,10,35,C6
CNH_064,B04,scan_035,546,0.457,B04,10,40,C6
CMH_024,F06,scan_070,556.4,0.47,F06,10,40,C6
NLMCMH_164,G01,scan_037,592,0.49,G01,10,40,C6
NLMCMH_164,D06,scan_079,587,0.477,D06,10,40,C6
CNH_064,C04,scan_035,535,0.439,C04,10,45,C6
CMH_024,G02,scan_032,522,0.445,G02,10,45,C6
CMH_024,G06,scan_070,538,0.455,G06,10,45,C6
CNH_048,H02,scan_036,509,0.426,H02,10,50,C6
CNH_048,B05,scan_040,522.5,0.446,B05,10,50,C6
CMH_024,H02,scan_032,501.5,0.418,H02,10,50,C6
CMH_024,H06,scan_070,514,0.464,H06,10,50,C6
CMH_024,A03,scan_033,509,0.433,A03,10,55,C6
CMH_024,A07,scan_070,516,0.455,A07,10,55,C6
NLMCMH_164,E06,scan_079,537,0.454,E06,10,55,C6
CMH_024,B03,scan_033,511.6666667,0.443,B03,10,60,C6
CMH_024,B07,scan_071,508,0.449,B07,10,60,C6
NLMCMH_164,A02,scan_037,521.8333333,0.437,A02,10,60,C6
NLMCMH_164,F06,scan_079,520.1666667,0.432,F06,10,60,C6
CMH_024,C03,scan_033,501,0.409,C03,100,7,C6
CMH_024,C07,scan_071,505.6,0.437,C07,100,7,C6
NLMCMH_164,B02,scan_037,502,0.403,B02,100,7,C6
NLMCMH_164,G06,scan_079,500.5,0.433,G06,100,7,C6
CMH_024,D03,scan_034,496,0.411,D03,100,8,C6
CMH_024,D07,scan_071,492,0.423,D07,100,8,C6
NLMCMH_164,C02,scan_037,463.6666667,0.438,C02,100,8,C6
NLMCMH_164,H06,scan_079,496,0.445,H06,100,8,C6
CMH_024,E03,scan_034,476.1428571,0.385,E03,100,9,C6
CMH_024,E07,scan_071,481,0.424,E07,100,9,C6
NLMCMH_164,D02,scan_037,479.1666667,0.394,D02,100,9,C6
NLMCMH_164,A07,scan_079,473.5,0.438,A07,100,9,C6
CNH_048,A03,scan_036,477,0.38,A03,100,10,C6
CNH_048,C05,scan_040,478,0.415,C05,100,10,C6
NLMCMH_164,E02,scan_037,495,0.379,E02,100,10,C6
NLMCMH_164,B07,scan_079,479,0.43,B07,100,10,C6
CMH_024,F03,scan_034,480,0.403,F03,100,12,C6
CMH_024,F07,scan_072,495,0.421,F07,100,12,C6
NLMCMH_164,F02,scan_037,476,0.405,F02,100,12,C6
NLMCMH_164,C07,scan_079,479.5,0.425,C07,100,12,C6
CMH_024,G03,scan_035,491,0.404,G03,100,14,C6
CMH_024,G07,scan_072,499.5,0.422,G07,100,14,C6
NLMCMH_164,G02,scan_037,471,0.415,G02,100,14,C6
NLMCMH_164,D07,scan_079,481,0.4,D07,100,14,C6
CMH_024,H03,scan_035,516,0.353,H03,100,16,C6
CMH_024,H07,scan_072,502,0.432,H07,100,16,C6
NLMCMH_164,H02,scan_037,503,0.382,H02,100,16,C6
NLMCMH_164,E07,scan_079,490,0.416,E07,100,16,C6
CMH_024,A04,scan_035,520.5,0.367,A04,100,18,C6
CMH_024,A08,scan_072,524,0.391,A08,100,18,C6
NLMCMH_164,A03,scan_037,516.3333333,0.372,A03,100,18,C6
NLMCMH_164,F07,scan_079,513.6666667,0.379,F07,100,18,C6
CNH_048,B03,scan_036,523,0.31,B03,100,20,C6
CNH_048,D05,scan_040,522.5,0.381,D05,100,20,C6
NLMCMH_164,B03,scan_037,510,0.323,B03,100,20,C6
NLMCMH_164,G07,scan_079,554.5,0.337,G07,100,20,C6
CNH_064,D04,scan_035,524.3333333,0.366,D04,100,25,C6
CMH_024,B04,scan_036,520.6666667,0.393,B04,100,25,C6
CMH_024,B08,scan_073,555.3636364,0.366,B08,100,25,C6
CMH_063,B03,scan_030,583.6666667,0.342,B03,100,25,C6
CMH_063,F06,scan_063,579,0.29,F06,100,25,C6
CNH_064,E04,scan_035,551.5,0.354,E04,100,30,C6
CMH_024,C04,scan_036,617,0.316,C04,100,30,C6
CMH_024,C08,scan_073,581,0.355,C08,100,30,C6
CNH_064,F04,scan_035,565.375,0.295,F04,100,35,C6
CMH_024,D04,scan_036,644,0.309,D04,100,35,C6
CMH_024,D08,scan_073,632.1666667,0.355,D08,100,35,C6
CMH_073,E09,scan_056,640.5,0.328,E09,100,35,C6
CMH_073,F09,scan_056,651,0.379,F09,100,35,C6
CMH_073,G09,scan_056,646,0.357,G09,100,35,C6
CNH_064,G04,scan_035,586.75,0.315,G04,100,40,C6
CMH_024,E04,scan_036,656.8571429,0.348,E04,100,40,C6
CMH_024,E08,scan_074,647,0.344,E08,100,40,C6
CMH_063,C03,scan_031,689.25,0.348,C03,100,40,C6
CMH_063,G06,scan_063,667.5,0.279,G06,100,40,C6
CNH_064,H04,scan_035,619,0.366,H04,100,45,C6
CMH_024,F04,scan_036,642,0.317,F04,100,45,C6
CMH_024,F08,scan_074,669.2857143,0.307,F08,100,45,C6
CNH_048,C03,scan_036,666,0.241,C03,100,50,C6
CNH_048,E05,scan_040,626.6666667,0.276,E05,100,50,C6
CMH_024,G04,scan_036,663.8,0.331,G04,100,50,C6
CMH_024,G08,scan_074,688,0.316,G08,100,50,C6
CMH_024,H04,scan_036,673,0.341,H04,100,55,C6
CMH_024,H08,scan_074,691,0.303,H08,100,55,C6
NLMCMH_164,C03,scan_037,675.4285714,0.206,C03,100,55,C6
NLMCMH_164,H07,scan_079,646,0.19,H07,100,55,C6
CMH_024,A05,scan_036,649.8,0.314,A05,100,60,C6
CMH_024,A09,scan_074,650.8888889,0.262,A09,100,60,C6
NLMCMH_164,D03,scan_037,676.5,0.151,D03,100,60,C6
NLMCMH_164,A08,scan_079,668.75,0.158,A08,100,60,C6
CMH_059,A02,scan_039,759,0.588,A02,1,20,C5
CMH_059,H06,scan_083,760,0.624,H06,1,20,C5
CMH_063,D02,scan_028,712.5,0.574,D02,1,20,C5
CMH_063,H05,scan_061,726.5,0.615,H05,1,20,C5
CMH_031,C01,scan_032,693.3333333,0.529,C01,1,30,C5
CMH_063,E02,scan_029,730,0.591,E02,1,30,C5
CMH_063,A06,scan_062,748,0.62,A06,1,30,C5
CMH_031,D01,scan_032,709.25,0.539,D01,1,35,C5
CMH_031,D05,scan_070,695.8,0.565,D05,1,35,C5
CMH_063,F02,scan_029,723,0.604,F02,1,35,C5
CMH_063,B06,scan_062,755.5,0.607,B06,1,35,C5
CMH_031,E01,scan_032,708.5,0.546,E01,1,40,C5
CMH_031,E05,scan_070,687,0.516,E05,1,40,C5
CMH_059,F01,scan_039,761,0.566,F01,1,40,C5
CMH_059,E06,scan_083,740.6,0.586,E06,1,40,C5
CMH_031,F01,scan_032,689,0.535,F01,1,45,C5
CMH_031,F05,scan_070,719.2,0.546,F05,1,45,C5
CMH_059,G01,scan_039,753.5,0.584,G01,1,45,C5
CMH_059,F06,scan_083,760,0.599,F06,1,45,C5
CMH_031,G01,scan_032,669.5,0.51,G01,1,60,C5
CMH_031,G05,scan_070,704,0.562,G05,1,60,C5
