Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive
NLM_166,G02,scan_027,755.5,0.57,G02,10,40,nitrate
NLM_166,D04,scan_053,760,0.552,D04,10,40,nitrate
NLM_166,G05,scan_055,774.6666667,0.608,G05,10,40,nitrate
NLM_107,H07,scan_062,811,0.695,H07,10,45,nitrate
NLM_151,H02,scan_033,760,0.566,H02,10,45,nitrate
NLM_151,A07,scan_071,812,0.665,A07,10,45,nitrate
NLM_152,H02,scan_033,767,0.571,H02,10,45,nitrate
NLM_152,A07,scan_071,777,0.599,A07,10,45,nitrate
NLM_158,H02,scan_033,773,0.541,H02,10,45,nitrate
NLM_158,A07,scan_071,787,0.636,A07,10,45,nitrate
NLM_107,A08,scan_062,844.6666667,0.73,A08,10,50,nitrate
NLM_151,A03,scan_033,760,0.587,A03,10,50,nitrate
NLM_151,B07,scan_071,771.5,0.611,B07,10,50,nitrate
NLM_152,A03,scan_033,733.5,0.567,A03,10,50,nitrate
NLM_152,B07,scan_071,741,0.552,B07,10,50,nitrate
NLM_158,A03,scan_033,788,0.633,A03,10,50,nitrate
NLM_158,B07,scan_071,801,0.623,B07,10,50,nitrate
NLM_107,B08,scan_063,857,0.734,B08,10,55,nitrate
NLM_151,B03,scan_034,622.7142857,0.488,B03,10,55,nitrate
NLM_151,C07,scan_072,775.4,0.606,C07,10,55,nitrate
NLM_152,B03,scan_034,731,0.544,B03,10,55,nitrate
NLM_152,C07,scan_072,739.75,0.519,C07,10,55,nitrate
NLM_158,B03,scan_034,806,0.612,B03,10,55,nitrate
NLM_158,C07,scan_072,792.25,0.629,C07,10,55,nitrate
NLM_166,B01,scan_024,742,0.431,B01,10,55,nitrate
NLM_166,E02,scan_026,759,0.57,E02,10,55,nitrate
NLM_166,B04,scan_053,774.3333333,0.553,B04,10,55,nitrate
NLM_166,E05,scan_055,788,0.619,E05,10,55,nitrate
NLM_168,C01,scan_015,739.6666667,0.475,C01,10,55,nitrate
NLM_168,F01,scan_016,739.5714286,0.402,F01,10,55,nitrate
NLM_168,A02,scan_016,732,0.483,A02,10,55,nitrate
NLM_168,D02,scan_016,735,0.499,D02,10,55,nitrate
NLM_168,G02,scan_032,728.25,0.4,G02,10,55,nitrate
NLM_168,B03,scan_033,601,0.403,B03,10,55,nitrate
NLM_168,E03,scan_034,757.5,0.542,E03,10,55,nitrate
NLM_168,H03,scan_035,731.3333333,0.539,H03,10,55,nitrate
CMH_073,C07,scan_052,758,0.491,C07,10,55,nitrate
CMH_073,D07,scan_052,740.5,0.486,D07,10,55,nitrate
CMH_073,E07,scan_052,741.5,0.493,E07,10,55,nitrate
NLM_107,C08,scan_063,853.5,0.704,C08,10,60,nitrate
NLM_151,C03,scan_034,742,0.57,C03,10,60,nitrate
NLM_151,D07,scan_072,771,0.633,D07,10,60,nitrate
NLM_152,C03,scan_034,751,0.622,C03,10,60,nitrate
NLM_152,D07,scan_072,743.3333333,0.566,D07,10,60,nitrate
NLM_158,C03,scan_034,822,0.655,C03,10,60,nitrate
NLM_158,D07,scan_072,766.75,0.615,D07,10,60,nitrate
NLM_107,D08,scan_063,865.5,0.739,D08,100,7,nitrate
NLM_151,D03,scan_034,758.5,0.524,D03,100,7,nitrate
NLM_151,E07,scan_072,790,0.617,E07,100,7,nitrate
NLM_152,D03,scan_034,775.5,0.61,D03,100,7,nitrate
NLM_152,E07,scan_072,761,0.557,E07,100,7,nitrate
NLM_158,D03,scan_034,774.6,0.577,D03,100,7,nitrate
NLM_158,E07,scan_072,784.8,0.63,E07,100,7,nitrate
NLM_107,E08,scan_064,853,0.699,E08,100,8,nitrate
NLM_151,E03,scan_035,770,0.549,E03,100,8,nitrate
NLM_151,F07,scan_072,787,0.584,F07,100,8,nitrate
NLM_152,E03,scan_035,777,0.536,E03,100,8,nitrate
NLM_152,F07,scan_072,779.6666667,0.559,F07,100,8,nitrate
NLM_158,E03,scan_035,769,0.587,E03,100,8,nitrate
NLM_158,F07,scan_072,781.5,0.589,F07,100,8,nitrate
NLM_107,F08,scan_064,865,0.728,F08,100,9,nitrate
NLM_151,F03,scan_035,744,0.504,F03,100,9,nitrate
NLM_151,G07,scan_073,759,0.588,G07,100,9,nitrate
NLM_152,F03,scan_035,777,0.578,F03,100,9,nitrate
NLM_152,G07,scan_073,754,0.537,G07,100,9,nitrate
NLM_158,F03,scan_035,788,0.586,F03,100,9,nitrate
NLM_158,G07,scan_073,797,0.615,G07,100,9,nitrate
NLM_107,G08,scan_064,840,0.579,G08,100,12,nitrate
NLM_151,G03,scan_035,804,0.593,G03,100,12,nitrate
NLM_151,H07,scan_073,793.75,0.622,H07,100,12,nitrate
NLM_152,G03,scan_035,755.5,0.506,G03,100,12,nitrate
NLM_152,H07,scan_073,756,0.522,H07,100,12,nitrate
NLM_158,G03,scan_035,795,0.598,G03,100,12,nitrate
NLM_158,H07,scan_073,816,0.647,H07,100,12,nitrate
NLM_107,H08,scan_064,853,0.675,H08,100,14,nitrate
NLM_151,H03,scan_036,780,0.567,H03,100,14,nitrate
NLM_151,A08,scan_073,789,0.623,A08,100,14,nitrate
NLM_152,H03,scan_036,766.5,0.511,H03,100,14,nitrate
NLM_152,A08,scan_073,753.5,0.546,A08,100,14,nitrate
NLM_158,H03,scan_036,778,0.557,H03,100,14,nitrate
NLM_158,A08,scan_073,801.5,0.609,A08,100,14,nitrate
NLM_107,A09,scan_065,857.8333333,0.727,A09,100,16,nitrate
NLM_151,A04,scan_036,747,0.49,A04,100,16,nitrate
NLM_151,B08,scan_073,775,0.564,B08,100,16,nitrate
NLM_152,A04,scan_036,757.5,0.487,A04,100,16,nitrate
NLM_152,B08,scan_073,757,0.469,B08,100,16,nitrate
NLM_158,A04,scan_036,784,0.59,A04,100,16,nitrate
NLM_158,B08,scan_073,813,0.638,B08,100,16,nitrate
NLM_107,B09,scan_065,824,0.79,B09,100,18,nitrate
NLM_151,B04,scan_036,749.3333333,0.496,B04,100,18,nitrate
NLM_151,C08,scan_074,805.5,0.638,C08,100,18,nitrate
NLM_152,B04,scan_036,789.1428571,0.562,B04,100,18,nitrate
NLM_152,C08,scan_074,766.5714286,0.516,C08,100,18,nitrate
NLM_158,B04,scan_036,817.5,0.637,B04,100,18,nitrate
NLM_158,C08,scan_074,814,0.615,C08,100,18,nitrate
NLM_107,C09,scan_065,864,0.705,C09,100,25,nitrate
NLM_151,C04,scan_037,790,0.556,C04,100,25,nitrate
NLM_151,D08,scan_074,816.1666667,0.653,D08,100,25,nitrate
NLM_152,C04,scan_037,796,0.579,C04,100,25,nitrate
NLM_152,D08,scan_074,832.5,0.614,D08,100,25,nitrate
